layer,neurons,signature,support,label,train_coverage,train_precision,train_recall,train_f1,test_coverage,test_precision,test_recall,test_f1,f1,kind
2,"[8, 2, 2, 0, 6, 6]","['>', 0.03427806496620178, '<=', 0.8725019097328186, '<=', 0.8633830547332764, '<=', 0.14460662007331848, '<=', 0.5293014943599701, '>', 0.4598807245492935]",4,1000,0.5,100,40.0,57.142857142857146,0.0,0.0,0.0,0.0,28.571428571428573,incorrect
2,"[8, 2, 0]","['<=', 0.03427806496620178, '<=', 0.6487156748771667, '<=', 0.37466326355934143]",3,1000,0.375,100,30.0,46.15384615384615,0.0,0.0,0.0,0.0,23.076923076923077,incorrect
2,"[8, 2, 2]","['>', 0.03427806496620178, '<=', 0.8725019097328186, '>', 0.8633830547332764]",1,1000,0.125,100,10.0,18.181818181818183,0.0,0.0,0.0,0.0,9.090909090909092,incorrect
2,"[8, 2, 4, 4, 8, 8]","['>', 0.03427806496620178, '>', 0.8725019097328186, '<=', 0.3615993708372116, '<=', 0.36117637157440186, '<=', 0.5205640494823456, '>', 0.5048765242099762]",1,1000,0.125,100,10.0,18.181818181818183,0.0,0.0,0.0,0.0,9.090909090909092,incorrect
2,"[8, 2, 4, 4]","['>', 0.03427806496620178, '>', 0.8725019097328186, '<=', 0.3615993708372116, '>', 0.36117637157440186]",1,1000,0.125,100,10.0,18.181818181818183,0.0,0.0,0.0,0.0,9.090909090909092,incorrect
2,"[8, 2, 4]","['>', 0.03427806496620178, '>', 0.8725019097328186, '>', 0.3615993708372116]",498,0,62.25000000000001,100,63.037974683544306,77.32919254658385,60.5,100.0,61.111111111111114,75.86206896551724,76.59563075605055,correct
2,"[8, 2, 4, 4, 8]","['>', 0.03427806496620178, '>', 0.8725019097328186, '<=', 0.3615993708372116, '<=', 0.36117637157440186, '>', 0.5205640494823456]",154,0,19.25,100,19.49367088607595,32.6271186440678,25.5,98.0392156862745,25.252525252525253,40.16064257028113,36.39388060717447,correct
2,"[8, 2, 2, 0]","['>', 0.03427806496620178, '<=', 0.8725019097328186, '<=', 0.8633830547332764, '>', 0.14460662007331848]",83,0,10.375,100,10.506329113924052,19.014891179839633,9.5,94.73684210526315,9.090909090909092,16.589861751152075,17.802376465495854,correct
2,"[8, 2, 4, 4, 8, 8]","['>', 0.03427806496620178, '>', 0.8725019097328186, '<=', 0.3615993708372116, '<=', 0.36117637157440186, '<=', 0.5205640494823456, '<=', 0.5048765242099762]",25,0,3.125,100,3.1645569620253164,6.134969325153374,2.0,100.0,2.0202020202020203,3.9603960396039604,5.047682682378667,correct
2,"[8, 2, 2, 0, 6]","['>', 0.03427806496620178, '<=', 0.8725019097328186, '<=', 0.8633830547332764, '<=', 0.14460662007331848, '>', 0.5293014943599701]",12,0,1.5,100,1.5189873417721518,2.992518703241895,1.5,100.0,1.5151515151515151,2.9850746268656714,2.9887966650537834,correct
2,"[8, 2]","['<=', 0.03427806496620178, '>', 0.6487156748771667]",11,0,1.375,100,1.3924050632911391,2.746566791510612,1.0,100.0,1.0101010101010102,2.0,2.3732833957553057,correct
2,"[8, 2, 2, 0, 6, 6]","['>', 0.03427806496620178, '<=', 0.8725019097328186, '<=', 0.8633830547332764, '<=', 0.14460662007331848, '<=', 0.5293014943599701, '<=', 0.4598807245492935]",6,0,0.75,100,0.7594936708860759,1.507537688442211,0.0,0.0,0.0,0.0,0.7537688442211055,correct
2,"[8, 2, 0]","['<=', 0.03427806496620178, '<=', 0.6487156748771667, '>', 0.37466326355934143]",1,0,0.125,100,0.12658227848101267,0.2528445006321113,0.0,0.0,0.0,0.0,0.12642225031605564,correct
